127.0.0.1, 2015-11-11 13:52:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2015-11-11 13:52:08, GET, /ucmag/default/index, HTTP/1.1, 200, 0.029931
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/default/index, HTTP/1.1, 200, 0.025432
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/js/jquery.js, HTTP/1.1, 304, 0.001362
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002437
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001477
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/css/calendar.css, HTTP/1.1, 304, 0.000634
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001300
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.003436
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/js/calendar.js, HTTP/1.1, 304, 0.000357
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/js/web2py.js, HTTP/1.1, 304, 0.001947
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/js/share.js, HTTP/1.1, 304, 0.001834
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001551
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002539
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/images/twitter.png, HTTP/1.1, 304, 0.001369
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/images/gplus-32.png, HTTP/1.1, 304, 0.000402
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/images/facebook.png, HTTP/1.1, 304, 0.001020
127.0.0.1, 2015-11-11 13:52:21, GET, /ucmag/static/images/favicon.ico, HTTP/1.1, 200, 0.000455
127.0.0.1, 2015-11-11 13:52:23, GET, /ucmag/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000410
127.0.0.1, 2015-11-11 13:52:23, GET, /ucmag/default/user/register, HTTP/1.1, 200, 0.032856
127.0.0.1, 2015-11-11 13:52:33, POST, /ucmag/default/user/register, HTTP/1.1, 303, 0.039718
127.0.0.1, 2015-11-11 13:52:33, GET, /ucmag/default/index, HTTP/1.1, 200, 0.028201
127.0.0.1, 2015-11-11 13:53:32, GET, /ucmag/default/user/profile, HTTP/1.1, 200, 0.031873
127.0.0.1, 2015-11-11 13:53:36, GET, /ucmag/default/index, HTTP/1.1, 200, 0.029325
127.0.0.1, 2015-11-11 13:53:46, GET, /ucmag/default/user/profile, HTTP/1.1, 200, 0.033430
127.0.0.1, 2015-11-11 13:54:01, POST, /ucmag/default/user/profile, HTTP/1.1, 303, 0.027496
127.0.0.1, 2015-11-11 13:54:01, GET, /ucmag/default/index, HTTP/1.1, 200, 0.033778
127.0.0.1, 2015-11-12 16:25:02, GET, /, HTTP/1.1, 303, 0.002731
127.0.0.1, 2015-11-12 16:25:04, GET, /welcome/default/index, HTTP/1.1, 200, 2.473620
127.0.0.1, 2015-11-12 16:25:08, GET, /admin/default/site, HTTP/1.1, 303, 1.066268
127.0.0.1, 2015-11-12 16:25:08, GET, /admin/default/index, HTTP/1.1, 200, 0.127112
127.0.0.1, 2015-11-12 16:25:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000210
127.0.0.1, 2015-11-12 16:25:09, POST, /admin/default/index, HTTP/1.1, 303, 0.069549
127.0.0.1, 2015-11-12 16:25:09, GET, /admin/default/site, HTTP/1.1, 200, 0.075349
127.0.0.1, 2015-11-12 16:25:10, POST, /admin/default/check_version, HTTP/1.1, 200, 0.550038
127.0.0.1, 2015-11-12 16:25:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/default/index, HTTP/1.1, 200, 0.968347
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/css/calendar.css, HTTP/1.1, 304, 0.000916
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.047223
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.045327
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.080404
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.066322
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/js/jquery.js, HTTP/1.1, 304, 0.115285
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/js/calendar.js, HTTP/1.1, 304, 0.114852
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/js/share.js, HTTP/1.1, 304, 0.005591
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004393
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.143656
127.0.0.1, 2015-11-12 16:25:12, GET, /ucmag/static/js/web2py.js, HTTP/1.1, 304, 0.146569
127.0.0.1, 2015-11-12 16:25:13, GET, /ucmag/static/images/twitter.png, HTTP/1.1, 304, 0.008226
127.0.0.1, 2015-11-12 16:25:13, GET, /ucmag/static/images/facebook.png, HTTP/1.1, 304, 0.018404
127.0.0.1, 2015-11-12 16:25:13, GET, /ucmag/static/images/gplus-32.png, HTTP/1.1, 304, 0.017430
127.0.0.1, 2015-11-12 16:25:15, GET, /ucmag/default/index, HTTP/1.1, 200, 0.029010
127.0.0.1, 2015-11-12 16:25:18, GET, /admin/default/site, HTTP/1.1, 200, 0.043388
127.0.0.1, 2015-11-12 16:25:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000207
127.0.0.1, 2015-11-12 16:29:44, GET, /ucmag/default/index, HTTP/1.1, 200, 0.028992
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/default/index, HTTP/1.1, 200, 0.030623
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002578
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/css/calendar.css, HTTP/1.1, 304, 0.002422
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001382
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/js/jquery.js, HTTP/1.1, 304, 0.000981
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002265
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003035
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/js/calendar.js, HTTP/1.1, 304, 0.000558
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/js/web2py.js, HTTP/1.1, 304, 0.000356
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000899
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/js/share.js, HTTP/1.1, 304, 0.001575
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001028
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/images/twitter.png, HTTP/1.1, 304, 0.000981
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/images/facebook.png, HTTP/1.1, 304, 0.001420
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/images/gplus-32.png, HTTP/1.1, 304, 0.000724
127.0.0.1, 2015-11-12 16:29:45, GET, /ucmag/static/images/favicon.ico, HTTP/1.1, 200, 0.019760
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/default/index, HTTP/1.1, 200, 0.054121
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001520
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001213
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001966
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001576
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/css/calendar.css, HTTP/1.1, 304, 0.001943
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/js/share.js, HTTP/1.1, 304, 0.000584
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/js/web2py.js, HTTP/1.1, 304, 0.001661
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/js/calendar.js, HTTP/1.1, 304, 0.001847
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003272
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002638
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/images/twitter.png, HTTP/1.1, 304, 0.001065
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/images/facebook.png, HTTP/1.1, 304, 0.001054
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/images/gplus-32.png, HTTP/1.1, 304, 0.000620
127.0.0.1, 2015-11-12 16:30:27, GET, /ucmag/static/images/favicon.ico, HTTP/1.1, 200, 0.000759
